sale_id,invoice_id,sale_date,customer_id,product_id,quantity,unit_price,total_price,channel,store_location,payment_method,cost_price,product_name,category,revenue,cost,profit,margin_pct
19,INV-202301-00019,2023-01-23,3585.0,1106,3,47.88,143.64,online,,sularaha,33.77,Praktiline klaasist sõrmkindad,aksessuaarid,143.64,101.31,42.33,29.47
20,INV-202301-00020,2023-01-06,2539.0,1042,2,347.84,695.68,pood,Tallinn,kaart,223.47,Luksuslik teksane polo särk,meeste_riided,695.68,446.94,248.74,35.75
21,INV-202301-00021,2023-01-27,,1203,3,17.97,53.91,pood,Tallinn,sularaha,12.54,Luksuslik nahkne käekott,aksessuaarid,53.91,37.62,16.29,30.22
22,INV-202301-00022,2023-01-17,3342.0,1303,2,312.41,624.82,online,,kaart,197.42,Mugav merino villane tuulejope,meeste_riided,624.82,394.84,229.98,36.81
23,INV-202301-00023,2023-01-06,4541.0,1045,2,176.65,353.3,online,,järelmaks,117.46,Praktiline kangast elastne vöö,aksessuaarid,353.3,234.92,118.38,33.51
24,INV-202301-00024,2023-01-20,4740.0,1113,1,86.46,-86.46,online,,kaart,52.42,Moodne trikoo koolikomplekt,laste_riided,-86.46,52.42,-138.88,160.63
25,INV-202301-00025,2023-01-17,3475.0,1281,1,292.61,292.61,pood,Pärnu,järelmaks,190.07,Sportlik villane tossud,jalanõusid,292.61,190.07,102.54,35.04
26,INV-202301-00026,2023-01-11,4167.0,1012,1,160.21,160.21,pood,Tallinn,sularaha,111.3,Boheemlaslik merino villane cargo püksid,meeste_riided,160.21,111.3,48.91,30.53
27,INV-202301-00027,2023-01-19,4229.0,1088,1,100.57,100.57,pood,Tartu,järelmaks,61.34,Soe softshell sukkpüksid,laste_riided,100.57,61.34,39.23,39.01
28,INV-202301-00028,2023-01-28,3458.0,1148,1,48.85,48.85,pood,Pärnu,kaart,32.65,Luksuslik tweed linane särk,meeste_riided,48.85,32.65,16.2,33.16
29,INV-202301-00029,2023-01-20,4924.0,1014,1,121.78,147.58,pood,Pärnu,järelmaks,86.91,Mugav kangast sandaalid,jalanõusid,147.58,86.91,60.67,41.11
30,INV-202301-00030,2023-01-21,3761.0,1206,1,22.7,22.7,pood,Tartu,sularaha,22.7,Vintage villane kangasvöö,aksessuaarid,22.7,22.7,0.0,0.0
31,INV-202301-00031,2023-01-31,2120.0,1341,1,45.21,45.21,pood,Tartu,järelmaks,27.64,Stiilne siidine labakindad,aksessuaarid,45.21,27.64,17.57,38.86
32,INV-202301-00032,2023-01-22,2423.0,1188,2,184.07,368.14,pood,Tallinn,järelmaks,113.31,Õhuline puuvillane kampsun,meeste_riided,368.14,226.62,141.52,38.44
33,INV-202301-00033,2023-01-08,2331.0,1084,2,156.13,312.26,pood,Tallinn,järelmaks,98.37,Õhuline nahkne elastne vöö,aksessuaarid,312.26,196.74,115.52,36.99
34,INV-202301-00034,2023-01-31,,1033,1,221.42,221.42,online,,kaart,149.36,Moodne seemisnahkne oxfordid,jalanõusid,221.42,149.36,72.06,32.54
35,INV-202301-00035,2023-01-04,2339.0,1347,2,246.97,493.94,pood,Tallinn,kaart,148.73,Minimalistlik džersii polo särk,meeste_riided,493.94,297.46,196.48,39.78
36,INV-202301-00036,2023-01-15,2285.0,1288,2,138.9,277.8,pood,Tallinn,kaart,84.62,Soe polüester slim-fit püksid,meeste_riided,277.8,169.24,108.56,39.08
37,INV-202301-00037,2023-01-23,4867.0,1155,1,209.05,209.05,online,,kaart,148.43,Stiilne kashmiir jakk,naiste_riided,209.05,148.43,60.62,29.0
38,INV-202301-00038,2023-01-16,4145.0,1099,1,86.8,86.8,pood,Tartu,järelmaks,60.88,Vintage viskoosne kapuutsiga pusa,naiste_riided,86.8,60.88,25.92,29.86
39,INV-202301-00039,2023-01-16,3629.0,1013,2,218.99,437.98,pood,Tallinn,kaart,141.58,Boheemlaslik džersii teksapüksid,naiste_riided,437.98,283.16,154.82,35.35
40,INV-202301-00040,2023-01-29,4893.0,1243,2,184.02,368.04,online,,sularaha,122.15,Trendikas kangast kindad,aksessuaarid,368.04,244.3,123.74,33.62
41,INV-202301-00041,2023-01-07,4239.0,1305,4,50.77,203.08,pood,Tallinn,sularaha,35.66,Sportlik siidine cargo püksid,naiste_riided,203.08,142.64,60.44,29.76
42,INV-202301-00042,2023-01-22,,1260,2,130.36,260.72,pood,Tallinn,sularaha,89.0,Minimalistlik džersii pullover,naiste_riided,260.72,178.0,82.72,31.73
43,INV-202301-00043,2023-01-19,2247.0,1064,1,95.87,95.87,pood,Tallinn,sularaha,63.2,Sportlik softshell teksapüksid,laste_riided,95.87,63.2,32.67,34.08
44,INV-202301-00044,2023-01-26,4612.0,1060,1,253.26,253.26,online,,järelmaks,153.0,Luksuslik puuvillane linane särk,meeste_riided,253.26,153.0,100.26,39.59
45,INV-202301-00045,2023-01-08,4150.0,1258,3,84.41,253.23,pood,Tartu,järelmaks,53.39,Minimalistlik seemisnahkne chelsea botased,jalanõusid,253.23,160.17,93.06,36.75
46,INV-202301-00046,2023-01-14,3648.0,1104,2,191.48,382.96,online,,sularaha,117.01,Vintage kangast vöö,aksessuaarid,382.96,234.02,148.94,38.89
47,INV-202301-00047,2023-01-07,3457.0,1345,1,225.81,225.81,pood,Tallinn,sularaha,160.82,Klassikaline kashmiir pusa,naiste_riided,225.81,160.82,64.99,28.78
48,INV-202301-00048,2023-01-01,3514.0,1065,1,48.58,48.58,pood,Tallinn,järelmaks,30.92,Soe fliisist pidžaama,laste_riided,48.58,30.92,17.66,36.35
49,INV-202301-00049,2023-01-12,4755.0,1221,1,350.19,350.19,online,,järelmaks,231.74,Õhuline goretex tennised,jalanõusid,350.19,231.74,118.45,33.82
50,INV-202301-00050,2023-01-28,2025.0,1092,1,144.2,144.2,pood,Tallinn,sularaha,89.91,Mugav flanellne parka,meeste_riided,144.2,89.91,54.29,37.65
51,INV-202301-00051,2023-01-07,3493.0,1247,1,29.48,29.48,pood,Tallinn,sularaha,18.93,Mugav klaasist kõrvarõngad,aksessuaarid,29.48,18.93,10.55,35.79
52,INV-202301-00052,2023-01-15,2574.0,1340,4,229.01,916.04,online,,kaart,136.18,Boheemlaslik tweed smokingüklikond,meeste_riided,916.04,544.72,371.32,40.54
53,INV-202301-00053,2023-01-02,2927.0,1238,2,72.73,145.46,pood,Tallinn,sularaha,48.98,Minimalistlik džersii chino püksid,naiste_riided,145.46,97.96,47.5,32.66
54,INV-202301-00054,2023-01-06,3764.0,1153,1,79.59,79.59,online,,kaart,48.21,Soe teksane smokingüklikond,meeste_riided,79.59,48.21,31.38,39.43
55,INV-202301-00055,2023-01-22,,1084,2,156.13,312.26,online,,järelmaks,98.37,Õhuline nahkne elastne vöö,aksessuaarid,312.26,196.74,115.52,36.99
56,INV-202301-00056,2023-01-28,4517.0,1333,1,218.54,218.54,pood,Tallinn,järelmaks,140.09,Boheemlaslik nahkne kõrge kontsaga kingad,jalanõusid,218.54,140.09,78.45,35.9
57,INV-202301-00057,2023-01-31,2317.0,1136,2,94.25,188.5,online,,sularaha,59.06,Trendikas villane tuulejope,laste_riided,188.5,118.12,70.38,37.34
58,INV-202301-00058,2023-01-19,4206.0,1350,1,270.69,270.69,pood,Pärnu,kaart,168.14,Soe nahkne platvormi kontsad,jalanõusid,270.69,168.14,102.55,37.88
59,INV-202301-00059,2023-01-14,4490.0,1228,5,160.71,803.55,pood,Tallinn,järelmaks,108.16,Stiilne džersii püksid,meeste_riided,803.55,540.8,262.75,32.7
60,INV-202301-00060,2023-01-18,3633.0,1272,1,183.31,183.31,pood,Tartu,sularaha,115.94,Boheemlaslik siidine sõrmkindad,aksessuaarid,183.31,115.94,67.37,36.75
61,INV-202301-00061,2023-01-10,3123.0,1055,1,65.6,65.6,online,,sularaha,41.58,Elegantne puust kootud müts,aksessuaarid,65.6,41.58,24.02,36.62
62,INV-202301-00062,2023-01-16,3530.0,1350,1,270.69,270.69,online,,kaart,168.14,Soe nahkne platvormi kontsad,jalanõusid,270.69,168.14,102.55,37.88
63,INV-202301-00063,2023-01-09,4542.0,1213,2,132.3,264.6,pood,Tartu,järelmaks,82.97,Luksuslik goretex derbyd,jalanõusid,264.6,165.94,98.66,37.29
64,INV-202301-00064,2023-01-30,2638.0,1311,1,153.11,153.11,pood,Tallinn,järelmaks,107.66,Minimalistlik puust kootud müts,aksessuaarid,153.11,107.66,45.45,29.68
65,INV-202301-00065,2023-01-14,2767.0,1275,1,62.82,62.82,pood,Tartu,järelmaks,38.3,Trendikas villane dressikomplekt,laste_riided,62.82,38.3,24.52,39.03
66,INV-202301-00066,2023-01-03,2017.0,1189,1,58.49,58.49,pood,Tallinn,järelmaks,36.3,Luksuslik nahkne madalad kontsad,jalanõusid,58.49,36.3,22.19,37.94
67,INV-202301-00067,2023-01-14,3163.0,1075,3,278.59,835.77,online,,järelmaks,181.9,Kerge flanellne kardigan,meeste_riided,835.77,545.7,290.07,34.71
68,INV-202301-00068,2023-01-22,3452.0,1002,1,274.78,274.78,online,,järelmaks,173.56,Mugav linane linane kostüüm,meeste_riided,274.78,173.56,101.22,36.84
69,INV-202301-00069,2023-01-01,2230.0,1050,1,145.72,145.72,pood,Tartu,järelmaks,86.55,Trendikas nahkne sõrmus,aksessuaarid,145.72,86.55,59.17,40.61
70,INV-202301-00070,2023-01-20,4255.0,1240,1,356.57,356.57,pood,Tallinn,kaart,237.31,Õhuline tweed püksid,meeste_riided,356.57,237.31,119.26,33.45
71,INV-202301-00071,2023-01-31,2734.0,1119,2,181.68,363.36,online,,järelmaks,116.87,Boheemlaslik kangast kangasvöö,aksessuaarid,363.36,233.74,129.62,35.67
72,INV-202301-00072,2023-01-29,3953.0,1023,2,38.7,77.4,pood,Tallinn,sularaha,27.36,Praktiline puuvillane sukkpüksid,laste_riided,77.4,54.72,22.68,29.3
73,INV-202301-00073,2023-01-18,3789.0,1183,2,231.13,462.26,pood,Pärnu,kaart,138.29,Luksuslik metallist labakindad,aksessuaarid,462.26,276.58,185.68,40.17
74,INV-202301-00074,2023-01-02,,1204,1,63.95,63.95,pood,Pärnu,kaart,40.78,Stiilne villane kontsakingad,jalanõusid,63.95,40.78,23.17,36.23
75,INV-202301-00075,2023-01-05,4454.0,1290,4,105.23,420.92,online,,sularaha,72.64,Soe trikoo pühapäevakleit,laste_riided,420.92,290.56,130.36,30.97
76,INV-202301-00076,2023-01-26,2755.0,1259,4,229.55,918.2,online,,kaart,143.56,Elegantne džersii cargo püksid,naiste_riided,918.2,574.24,343.96,37.46
77,INV-202301-00077,2023-01-04,4178.0,1275,3,62.82,188.46,online,,sularaha,38.3,Trendikas villane dressikomplekt,laste_riided,188.46,114.9,73.56,39.03
78,INV-202301-00078,2023-01-09,,1274,3,234.79,704.37,pood,Tartu,kaart,156.71,Soe teksane chino püksid,meeste_riided,704.37,470.13,234.24,33.26
79,INV-202301-00079,2023-01-02,4896.0,1289,2,171.33,342.66,pood,Tallinn,sularaha,113.83,Soe teksane bleiser,meeste_riided,342.66,227.66,115.0,33.56
80,INV-202301-00080,2023-01-17,4259.0,1053,1,113.86,113.86,pood,Tartu,sularaha,67.9,Trendikas villane nahkkindad,aksessuaarid,113.86,67.9,45.96,40.37
81,INV-202301-00081,2023-01-18,3011.0,1156,1,221.89,221.89,online,,järelmaks,130.81,Sportlik puuvillane slim-fit püksid,naiste_riided,221.89,130.81,91.08,41.05
82,INV-202301-00082,2023-01-11,3251.0,1001,2,157.49,314.98,pood,Tallinn,järelmaks,99.21,Praktiline seemisnahkne tennised,jalanõusid,314.98,198.42,116.56,37.01
83,INV-202301-00083,2023-01-02,4624.0,1198,2,291.72,583.44,pood,Tallinn,kaart,186.77,Õhuline sünteetiline kõrge kontsaga kingad,jalanõusid,583.44,373.54,209.9,35.98
84,INV-202301-00084,2023-01-28,4952.0,1160,1,368.67,368.67,pood,Tallinn,järelmaks,226.48,Moodne villane nahk sandaalid,jalanõusid,368.67,226.48,142.19,38.57
85,INV-202301-00085,2023-01-04,2609.0,1243,1,184.02,184.02,pood,Pärnu,sularaha,122.15,Trendikas kangast kindad,aksessuaarid,184.02,122.15,61.87,33.62
86,INV-202301-00086,2023-01-29,2890.0,1118,1,109.42,109.42,pood,Pärnu,järelmaks,65.28,Elegantne villane kaabu,aksessuaarid,109.42,65.28,44.14,40.34
87,INV-202301-00087,2023-01-07,2677.0,1070,1,139.74,139.74,pood,Tallinn,kaart,96.46,Trendikas džersii miniseelik,naiste_riided,139.74,96.46,43.28,30.97
88,INV-202301-00088,2023-01-04,4001.0,1082,2,100.93,201.86,pood,Tallinn,kaart,71.58,Boheemlaslik polüester casual särk,meeste_riided,201.86,143.16,58.7,29.08
89,INV-202301-00089,2023-01-31,2889.0,1275,2,62.82,125.64,pood,Tallinn,kaart,38.3,Trendikas villane dressikomplekt,laste_riided,125.64,76.6,49.04,39.03
90,INV-202301-00090,2023-01-09,2206.0,1200,2,105.29,210.58,pood,Pärnu,kaart,65.49,Elegantne orgaaniline dressikomplekt,laste_riided,210.58,130.98,79.6,37.8
91,INV-202301-00091,2023-01-15,4238.0,1107,2,279.43,558.86,pood,Tartu,järelmaks,196.64,Praktiline polüester ülikond,meeste_riided,558.86,393.28,165.58,29.63
92,INV-202301-00092,2023-01-29,2704.0,1142,2,307.27,614.54,pood,Tallinn,järelmaks,211.12,Sportlik seemisnahkne nahk sandaalid,jalanõusid,614.54,422.24,192.3,31.29
93,INV-202301-00093,2023-01-24,4131.0,1003,2,52.04,104.08,pood,Tallinn,järelmaks,31.83,Elegantne orgaaniline kleit,laste_riided,104.08,63.66,40.42,38.84
94,INV-202301-00094,2023-01-28,3261.0,1319,1,290.55,290.55,pood,Pärnu,sularaha,174.45,Vintage džersii tuunika,naiste_riided,290.55,174.45,116.1,39.96
95,INV-202301-00095,2023-01-03,4000.0,1227,2,120.17,240.34,online,,järelmaks,77.08,Mugav kangast tennised,jalanõusid,240.34,154.16,86.18,35.86
96,INV-202301-00096,2023-01-21,3605.0,1071,1,237.71,237.71,online,,kaart,140.42,Klassikaline viskoosne õhtukleit,naiste_riided,237.71,140.42,97.29,40.93
97,INV-202301-00097,2023-01-20,4597.0,1312,3,243.93,731.79,pood,Tartu,kaart,152.67,Soe polüester smokingüklikond,meeste_riided,731.79,458.01,273.78,37.41
98,INV-202301-00098,2023-01-03,2472.0,1034,1,207.23,207.23,pood,Tartu,järelmaks,145.76,Minimalistlik villane nahk sandaalid,jalanõusid,207.23,145.76,61.47,29.66
99,INV-202301-00099,2023-01-08,4264.0,1080,1,51.5,51.5,pood,Tallinn,sularaha,35.75,Minimalistlik softshell chino püksid,laste_riided,51.5,35.75,15.75,30.58
100,INV-202301-00100,2023-01-24,3350.0,1136,2,94.25,188.5,pood,Tallinn,järelmaks,59.06,Trendikas villane tuulejope,laste_riided,188.5,118.12,70.38,37.34
101,INV-202301-00101,2023-01-10,2668.0,1040,1,96.11,96.11,pood,Tartu,järelmaks,67.46,Sportlik goretex nahk sandaalid,jalanõusid,96.11,67.46,28.65,29.81
102,INV-202301-00102,2023-01-24,3648.0,1350,1,270.69,270.69,online,,kaart,168.14,Soe nahkne platvormi kontsad,jalanõusid,270.69,168.14,102.55,37.88
103,INV-202301-00103,2023-01-23,4276.0,1155,1,209.05,209.05,pood,Tallinn,järelmaks,148.43,Stiilne kashmiir jakk,naiste_riided,209.05,148.43,60.62,29.0
104,INV-202301-00104,2023-01-24,4217.0,1337,2,272.05,544.1,pood,Tallinn,järelmaks,193.79,Praktiline viskoosne õhtukleit,naiste_riided,544.1,387.58,156.52,28.77
105,INV-202301-00105,2023-01-04,2396.0,1138,2,130.73,261.46,pood,Tallinn,sularaha,83.37,Vintage orgaaniline body,laste_riided,261.46,166.74,94.72,36.23
106,INV-202301-00106,2023-01-03,3767.0,1277,1,121.51,121.51,pood,Tartu,kaart,79.45,Stiilne kangast jooksutossud,jalanõusid,121.51,79.45,42.06,34.61
107,INV-202301-00107,2023-01-10,3837.0,1108,1,371.05,371.05,pood,Tallinn,sularaha,223.83,Trendikas goretex oxfordid,jalanõusid,371.05,223.83,147.22,39.68
108,INV-202301-00108,2023-01-08,3398.0,1139,1,106.71,106.71,pood,Tallinn,kaart,69.49,Vintage metallist seljakott,aksessuaarid,106.71,69.49,37.22,34.88
109,INV-202301-00109,2023-01-28,2735.0,1246,1,204.87,204.87,online,,sularaha,133.03,Praktiline villane kott,aksessuaarid,204.87,133.03,71.84,35.07
110,INV-202301-00110,2023-01-10,3119.0,1289,1,171.33,171.33,online,,kaart,113.83,Soe teksane bleiser,meeste_riided,171.33,113.83,57.5,33.56
111,INV-202301-00111,2023-01-31,3556.0,1256,1,296.4,296.4,pood,Tallinn,sularaha,176.78,Klassikaline puuvillane skaterkleit,naiste_riided,296.4,176.78,119.62,40.36
112,INV-202301-00112,2023-01-06,3165.0,1170,1,158.51,158.51,pood,Tartu,järelmaks,102.33,Elegantne kashmiir tuulejope,naiste_riided,158.51,102.33,56.18,35.44
113,INV-202301-00113,2023-01-08,2095.0,1295,1,375.34,375.34,online,,järelmaks,258.78,Soe sünteetiline loaferid,jalanõusid,375.34,258.78,116.56,31.05
114,INV-202301-00114,2023-01-25,2304.0,1283,1,188.91,188.91,pood,Tallinn,järelmaks,111.74,Klassikaline nahkne sõrmus,aksessuaarid,188.91,111.74,77.17,40.85
115,INV-202301-00115,2023-01-12,2759.0,1032,2,198.42,396.84,pood,Tallinn,järelmaks,132.11,Boheemlaslik seemisnahkne oxfordid,jalanõusid,396.84,264.22,132.62,33.42
116,INV-202301-00116,2023-01-01,2441.0,1223,4,319.98,1279.92,pood,Tallinn,järelmaks,192.81,Praktiline kangast kõrge kontsaga kingad,jalanõusid,1279.92,771.24,508.68,39.74
117,INV-202301-00117,2023-01-29,2070.0,1109,2,116.2,232.4,pood,Tallinn,sularaha,72.49,Stiilne linane tuulejope,meeste_riided,232.4,144.98,87.42,37.62
118,INV-202301-00118,2023-01-19,2439.0,1152,1,107.67,107.67,pood,Tallinn,järelmaks,65.22,Vintage teksane chino püksid,meeste_riided,107.67,65.22,42.45,39.43
119,INV-202301-00119,2023-01-31,4312.0,1047,1,155.84,155.84,pood,Tallinn,sularaha,94.85,Elegantne keraamiline rahakott,aksessuaarid,155.84,94.85,60.99,39.14
120,INV-202301-00120,2023-01-04,3556.0,1114,1,74.7,74.7,pood,Tallinn,sularaha,52.97,Luksuslik villane saapad,jalanõusid,74.7,52.97,21.73,29.09
121,INV-202301-00121,2023-01-29,,1103,5,173.62,868.1,online,,sularaha,112.53,Elegantne siidine müts,aksessuaarid,868.1,562.65,305.45,35.19
122,INV-202301-00122,2023-01-02,,1135,4,175.25,701.0,pood,Tartu,sularaha,124.02,Soe polüester cargo püksid,meeste_riided,701.0,496.08,204.92,29.23
123,INV-202301-00123,2023-01-26,4105.0,1172,2,141.62,283.24,pood,Tallinn,sularaha,96.01,Moodne orgaaniline skaterkleit,laste_riided,283.24,192.02,91.22,32.21
124,INV-202301-00124,2023-01-17,4206.0,1055,5,65.6,328.0,pood,Pärnu,sularaha,41.58,Elegantne puust kootud müts,aksessuaarid,328.0,207.9,120.1,36.62
125,INV-202301-00125,2023-01-30,4141.0,1017,2,153.62,307.24,pood,Tallinn,järelmaks,108.74,Praktiline seemisnahkne saapad,jalanõusid,307.24,217.48,89.76,29.21
126,INV-202301-00126,2023-01-20,,1146,1,31.65,31.65,online,,sularaha,22.19,Trendikas trikoo jakk,laste_riided,31.65,22.19,9.46,29.89
127,INV-202301-00127,2023-01-17,4372.0,1214,1,250.17,250.17,pood,Pärnu,järelmaks,176.29,Luksuslik merino villane kapuutsiga pusa,naiste_riided,250.17,176.29,73.88,29.53
128,INV-202301-00128,2023-01-27,3899.0,1178,1,105.09,105.09,pood,Tallinn,sularaha,68.59,Kerge linane kampsun,meeste_riided,105.09,68.59,36.5,34.73
129,INV-202301-00129,2023-01-14,,1329,2,110.02,220.04,online,,kaart,65.74,Moodne viskoosne teksapüksid,naiste_riided,220.04,131.48,88.56,40.25
130,INV-202301-00130,2023-01-31,,1034,2,207.23,414.46,online,,järelmaks,145.76,Minimalistlik villane nahk sandaalid,jalanõusid,414.46,291.52,122.94,29.66
131,INV-202301-00131,2023-01-14,4315.0,1160,2,368.67,737.34,pood,Tartu,kaart,226.48,Moodne villane nahk sandaalid,jalanõusid,737.34,452.96,284.38,38.57
132,INV-202301-00132,2023-01-19,2635.0,1187,2,252.33,504.66,pood,Tallinn,sularaha,150.21,Mugav kashmiir pusa,naiste_riided,504.66,300.42,204.24,40.47
133,INV-202301-00133,2023-01-28,2272.0,1225,1,116.87,116.87,pood,Pärnu,järelmaks,75.66,Moodne kangast derbyd,jalanõusid,116.87,75.66,41.21,35.26
134,INV-202301-00134,2023-01-20,4146.0,1217,2,34.04,68.08,online,,kaart,21.18,Sportlik villane püksid,laste_riided,68.08,42.36,25.72,37.78
135,INV-202301-00135,2023-01-02,4220.0,1240,1,356.57,356.57,pood,Tallinn,sularaha,237.31,Õhuline tweed püksid,meeste_riided,356.57,237.31,119.26,33.45
136,INV-202301-00136,2023-01-21,2930.0,1290,3,105.23,315.69,pood,Tartu,järelmaks,72.64,Soe trikoo pühapäevakleit,laste_riided,315.69,217.92,97.77,30.97
137,INV-202301-00137,2023-01-22,3556.0,1153,1,79.59,79.59,pood,Tartu,järelmaks,48.21,Soe teksane smokingüklikond,meeste_riided,79.59,48.21,31.38,39.43
138,INV-202301-00138,2023-01-16,2377.0,1129,1,182.77,182.77,pood,Pärnu,järelmaks,119.04,Elegantne siidine teksapüksid,naiste_riided,182.77,119.04,63.73,34.87
139,INV-202301-00139,2023-01-26,2202.0,1049,1,308.84,-308.84,online,,sularaha,200.72,Boheemlaslik puuvillane tuulejope,naiste_riided,-308.84,200.72,-509.56,164.99
141,INV-202301-00141,2023-01-14,4444.0,1330,3,167.23,501.69,pood,Pärnu,järelmaks,106.54,Trendikas trikoo chino püksid,laste_riided,501.69,319.62,182.07,36.29
142,INV-202301-00142,2023-01-11,3525.0,1154,2,190.81,381.62,pood,Tallinn,järelmaks,119.91,Praktiline nahkne nahk sandaalid,jalanõusid,381.62,239.82,141.8,37.16
143,INV-202301-00143,2023-01-14,2980.0,1136,3,94.25,282.75,online,,sularaha,59.06,Trendikas villane tuulejope,laste_riided,282.75,177.18,105.57,37.34
144,INV-202301-00144,2023-01-07,3446.0,1009,5,332.55,1662.75,pood,Tallinn,järelmaks,206.74,Praktiline merino villane parka,meeste_riided,1662.75,1033.7,629.05,37.83
145,INV-202301-00145,2023-01-07,3240.0,1215,3,160.91,482.73,pood,Tallinn,kaart,102.31,Praktiline polüester casual särk,meeste_riided,482.73,306.93,175.8,36.42
146,INV-202301-00146,2023-01-02,2652.0,1327,2,110.7,221.4,pood,Tallinn,kaart,71.26,Elegantne villane sukkpüksid,laste_riided,221.4,142.52,78.88,35.63
147,INV-202301-00147,2023-01-17,3249.0,1274,3,234.79,704.37,pood,Tallinn,sularaha,156.71,Soe teksane chino püksid,meeste_riided,704.37,470.13,234.24,33.26
148,INV-202301-00148,2023-01-09,3995.0,1272,1,183.31,183.31,pood,Tartu,kaart,115.94,Boheemlaslik siidine sõrmkindad,aksessuaarid,183.31,115.94,67.37,36.75
149,INV-202301-00149,2023-01-05,2597.0,1332,1,81.85,81.85,online,,järelmaks,57.94,Luksuslik džersii ülikond,meeste_riided,81.85,57.94,23.91,29.21
150,INV-202301-00150,2023-01-18,3429.0,1216,1,273.06,273.06,online,,kaart,166.29,Boheemlaslik goretex kingad,jalanõusid,273.06,166.29,106.77,39.1
151,INV-202301-00151,2023-01-03,3924.0,1157,2,91.22,182.44,online,,sularaha,64.48,Klassikaline tweed kardigan,meeste_riided,182.44,128.96,53.48,29.31
152,INV-202301-00152,2023-01-01,3556.0,1128,3,321.68,823.5,pood,Pärnu,kaart,184.73,Luksuslik polüester V-kaelusega kampsun,meeste_riided,823.5,554.19,269.31,32.7
153,INV-202301-00153,2023-01-18,4833.0,1277,2,121.51,243.02,pood,Tallinn,sularaha,79.45,Stiilne kangast jooksutossud,jalanõusid,243.02,158.9,84.12,34.61
154,INV-202301-00154,2023-01-21,2997.0,1209,5,252.1,1260.5,online,,järelmaks,172.03,Soe sünteetiline sandaalid,jalanõusid,1260.5,860.15,400.35,31.76
